id,workout_interval_id,ref,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,k,curve_data,stroke_number_in_interval,avg_calculated_power
,9455345,,2,248.34,248.34,37.08,2.922,145.2,6.85,684.94,118.11,833.06,833.06,109,0,521.7,61.6,0.42,0.758,0.86,0,"50.042792392953,36.440631640272,91.710279459211,154.58443519076,234.96378319918,297.80804686237,339.87116098903,373.51741341471,392.20153455541,410.01318216636,424.79174995944,447.60107962339,462.20661605274,479.69533381424,493.55215637604,500.92251752114,502.17261820161,501.53548070909,498.83593611692,501.76961958,500.25084940364,506.26520980377,507.8994910022,511.96932501217,509.79402711251,514.52279598288,515.92204237145,521.7015792748,519.14662140634,515.87089518147,503.23857602112,496.30388463566,477.70800897632,463.05028014406,445.32650393854,430.11073958359,413.84210537099,396.54766345939,382.22255864184,369.11664315067,355.32854588249,344.99241053363,332.08824375526,318.63728100005,304.66131749696,294.46523994858,281.75496215614,272.99728724751,259.58582185881,250.22607792385,236.1811034542,224.04895982797,213.9071824365,201.31270944012,183.97278444212,168.65073254366,148.58614310672,128.32835935515,107.93039729971,87.445910402246,73.758692214893,46.437468808991,26.011031336973,19.255127140405,8.0486383695136,3.0616465288366",1,248.33774196037
,9455345,,3,360.72,285.8,39.16,4.422,138.6,14.5,764.89,100.15,783.68,1616.74,112,0,497.23,37.4,0.27,0.634,0.898,0,"75.454540909623,70.677583387947,128.05638127892,195.7266113083,255.16726900587,295.1253226387,328.23073862772,347.48157074256,364.07195685814,381.3216515665,401.04778256082,421.63042032847,439.4741369761,459.96474637099,479.50186260561,484.41997032765,497.23100245201,494.38334907013,493.09054673438,491.40923164318,491.45983239225,482.55485076187,483.90326375085,482.82589542741,488.28051235619,484.50607114524,492.07481273621,492.61605096994,490.51046256895,490.53896690013,485.31737874183,471.96820220182,460.37704978215,450.70693061464,429.83098410238,418.71578230614,401.6115498965,381.03044289205,370.75902398288,354.48229871851,340.47277826456,326.01123042261,311.11948056968,298.70805979112,285.97689235783,270.02066110621,256.66365756739,240.09429728263,226.20261391133,215.0685667335,203.7758442327,186.35562217545,174.74395088025,148.01489185501,136.12882736839,130.19191286632,103.19665874171,82.161376475994,61.14273236868,49.147685665727,22.313781362395,13.465270604301,10.598729060985",2,304.52666723144
,9455345,,4,388.98,311.59,38.27,5.982,132,22.78,828.28,94.65,630.17,2246.91,115,0,410.72,41.8,0.32,0.589,0.979,0,"87.451235991107,55.94138574808,93.269039422603,164.2897525039,224.3484517241,261.6603346053,293.89423564051,304.61100766862,315.6275994009,326.96129274955,338.63027549769,354.92631419263,363.11543077162,380.29190943764,382.54190653388,396.00705150947,400.81738099022,408.01639624235,410.72108025436,406.30491055979,401.57782476457,401.39626924112,391.26095389864,398.03410043685,399.93478214484,399.25786250412,403.60774982597,397.59032214526,393.88475862504,384.61739636756,374.93668128595,370.29187819361,351.68967825473,343.53566299944,326.70875514686,315.00589487595,305.79868694243,296.33292800755,286.61792382284,270.88406237897,266.43198945602,256.03315229446,248.36313731039,231.70222737558,223.64860257697,209.53009002872,195.22174025052,192.68809245389,175.15569230385,163.45468192358,151.65970518959,139.7857674068,130.85367008339,112.8645008596,91.82844914568,76.78529941256,55.778188507371,34.847706038263,28.90848498518,8.188520504843",3,332.67855073612
,9455345,,5,383.65,326,37.66,7.573,127.6,31.18,839.87,94.84,610.62,2857.53,119,0,425.32,44,0.34,0.572,1.021,0,"86.73006325541,45.928010903986,88.558859493134,152.72943550572,229.44530331891,274.28000926671,302.41679229446,325.37914540129,326.62820509811,340.24398721027,348.0217635877,356.01291440162,370.65243717022,385.78799265314,390.4530315207,408.57025023982,411.53414168012,421.36608468571,424.52416545648,425.32013946061,423.61642736555,419.27508745918,414.61240646733,412.11041848594,406.87091021826,408.94061072381,405.83071845421,402.4917789978,401.55857213844,389.82878534082,377.58602335604,367.56443825701,348.90863720038,335.16397634857,315.398191014,300.69679267197,288.43610535788,278.71714478937,263.04339240906,247.04502453156,236.5277460325,220.02527006378,212.00622388645,198.03142618061,183.88406617193,175.45322127514,161.06184711157,149.49817029827,137.85736145878,129.10074847908,114.41171860251,105.57302325308,93.77472163313,79.030311045542,67.23632307657,46.685478026106,34.984609116402,17.532840518681",4,345.42115187195
,9455345,,6,351.34,330.23,33.06,9.372,129.8,40.53,935.3,97.03,590.67,3448.2,124,0,406.2,61.6,0.47,0.6,1.215,0,"81.828204558254,62.271105382046,101.33137666335,169.1816539946,212.9249690447,237.69910299542,259.44337990569,265.18113404441,272.91431670185,280.84438310954,296.57788604147,305.11029297857,317.76161268951,328.84153408876,342.24983617324,352.07377192192,364.23650784734,370.60674293352,375.04294759107,375.31583381802,381.92512565262,384.35017907147,391.16615420196,391.45728740893,402.94556757769,403.34525804793,405.95651822962,406.20061786881,392.03914192995,389.24556317506,378.9246070331,365.65753983912,354.32647747098,340.02743075702,327.74961974197,315.05181035063,307.10771462783,293.71470764517,279.95085158147,268.46946081214,256.71416874793,242.03924657585,232.42529098685,214.57585917747,201.83618669564,188.91650032003,175.8360578546,162.61459412966,146.55221269584,138.54207546131,125.03174659303,111.45854815651,95.119854614757,86.92414836101,73.290371244352,54.249370395464,35.27380386587,21.794841892823,5.7267556852217",5,346.60584469221
,9455345,,7,349.41,332.97,34.38,11.112,132,49.41,887.69,98.29,626.74,4074.94,129,0,411.41,41.8,0.32,0.611,1.134,0,"79.630960248048,65.950283486305,113.81319539038,174.10630455518,228.5131844085,254.54607988471,284.85746040501,298.27586725139,308.49943358711,319.03387570846,339.15715975595,350.63054210804,368.19465690954,380.63196131285,387.63226801811,398.78990451357,408.309851493,405.84476822749,411.41105057805,408.65227481008,409.88461407555,411.02262806241,409.86476004379,406.28020275314,406.91658862723,402.86753451705,405.47390619024,403.36574843394,396.28782510317,388.80807458878,378.49444372973,370.16194492054,358.95536604173,347.28828448296,332.63848049007,320.04310170329,304.45927460694,293.61529848866,279.84950745283,265.73434725401,253.93954716959,244.55140373094,232.29706855424,219.81834719326,209.82936915028,191.57119107456,186.64370113411,170.77349221657,157.46760770795,144.04870322568,135.99927800319,125.16894375479,108.82182662749,100.62441944852,84.222328616095,75.997994591154,65.059942591589,43.284476492846,40.558729179563,13.552793284744",6,347.07272144353
,9455345,,8,339.11,333.74,33.26,12.912,132,58.54,913.44,98.75,598.87,4673.82,134,0,398.87,37.4,0.28,0.616,1.188,0,"78.474471539597,70.045542296908,117.25529107898,180.15748268169,227.11794971504,264.91686549512,291.65382946098,298.08883282088,308.26494961882,316.9450453139,331.37183070082,348.14817396211,358.01769950166,370.10947607624,380.68749440203,387.69532767635,398.86629058039,392.24477352711,395.40546935874,390.26450326289,386.86081430574,381.04808823085,381.3449187037,377.16521157027,381.55920668271,379.29781147857,381.37698953752,371.94763308197,366.7021519001,361.16959347549,341.10727742968,337.07408627839,325.58687907602,306.36620670605,301.31175871164,288.64085174633,270.61692367437,267.216376522,258.65759145179,242.26400874011,240.86849833367,226.58328825694,217.19762198601,210.24132868496,200.56912193831,195.97430933281,188.69270483862,173.4354647822,165.90625809782,153.02597167725,137.39682807191,126.9505415298,111.16283543633,97.964014086661,84.741177870057,74.151295842837,47.781492444331,32.008410841073,18.941594595591,5.9707641886386",7,345.935390694
,9455345,,9,328.47,333.15,33.08,14.712,132,67.62,907.48,99.95,584.17,5257.99,137,0,392.62,39.6,0.3,0.623,1.191,0,"77.043963831691,67.247913977237,111.32569980898,173.8402197528,219.27030595978,254.13949227789,276.53755348328,289.40521780478,300.94882026605,311.10868075853,326.89550784256,343.23915955919,351.08978158333,370.23286646459,375.15967178052,383.97367901097,391.1329035927,392.61756524628,390.05483213759,383.20576003268,377.95166066799,378.53716577179,372.75033219744,372.96146420022,368.7805550769,366.49669259567,359.62762532404,356.8463552244,349.37831270038,339.2876069578,328.775751898,313.2244711406,301.81348990103,290.02801653707,277.8843418666,274.95475943004,264.70581985508,256.61247023725,248.31705315158,239.82768609868,228.69011809241,222.28288922834,213.26564886077,204.09124033846,197.27558518125,187.8415197679,175.75689391988,168.58517865073,158.79984748574,151.45880822975,141.51052474622,126.39746082231,113.74695484136,101.04603816277,88.314005816409,70.487546372046,57.754773360523,39.995841590702,32.411875391362,14.813154219199",8,343.75252186616
,9455345,,10,331.3,332.97,32.88,16.542,136.4,76.7,908.14,100.48,629.13,5887.12,142,0,410.19,55,0.4,0.643,1.182,0,"75.788520362831,56.730791630525,102.74034100186,168.24261314183,231.69330528188,259.45658867313,288.08481764983,299.38868268797,307.68429957141,316.22776786781,333.67323801337,348.26012213058,363.38377872219,375.47126771651,387.99331885459,395.39123863221,406.77105548298,401.27121776072,408.96846958335,405.00106176532,402.68106643019,404.16593017036,405.56498411654,404.77805253781,410.18658183811,409.22033184145,408.06072342504,406.70455333559,393.90796706612,389.54815483048,371.07039785421,358.76970387436,350.64366090742,332.64833260029,328.40020985828,311.85497052796,299.65867427945,284.62801656712,271.6583913763,265.83187632962,252.32522508615,241.03709990589,232.04768533415,217.7876902455,205.83879410345,201.40141060896,186.59227888692,176.75615485223,166.80496898961,154.15687628998,146.59345541262,133.76901930589,126.07030313925,110.51992821452,105.32815996129,92.314894968315,68.890493298664,58.466063732482,40.308250607261,24.817380403067,6.8610198095425,14.646622651106",9,342.36836025146
,9455345,,11,341.06,333.7,34.66,18.252,134.2,85.41,870.95,99.37,634.98,6522.1,144,0,408.62,57.2,0.43,0.625,1.106,0,"77.635186332599,74.317087080329,119.14427470972,187.78747434415,239.25737316107,278.52694471584,296.68357347416,308.47077590029,311.81200251529,316.98949893787,331.32780540667,344.32966271469,354.06724473965,373.5306203034,382.29229576553,393.2615686522,398.6991788187,398.24912353752,399.64944504822,400.9636629779,393.84973411228,396.839847238,399.82714290821,398.46553820838,401.31303244594,408.61749152781,400.26889781077,405.18279926722,398.56698479202,382.14994533932,376.86923196142,359.27035880857,345.8199494881,341.65692689704,329.86794135613,315.1612275344,307.53405772854,292.04328183094,283.78471326099,272.7225288149,261.38113232929,249.77526190217,237.92044473472,233.72105428731,218.86683073858,214.37278470375,199.15076489797,194.39818799973,176.18393787981,171.19065984432,160.76236659128,142.15523110254,131.50950797053,110.01455876482,101.93199420774,88.442959334164,72.255300318503,50.717921518351,42.649203902453,31.947248182308,0.022406276721149",10,342.23802339042
