,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,avg_calculated_power,curve_area,curve_std,time_to_peak,datestamp,workout_type,curve_area_zscore,curve_std_zscore,time_to_peak_zscore
peak_force_pos,-0.0904590692646775,-0.003972782738317987,-0.07543021202528301,-0.09745922851062315,-0.05711167709019987,0.2928286568592557,-0.06425698787642563,0.1869153166986426,0.001410814700849391,0.34252616186369395,-0.05543099515588969,-0.1536629035121784,0.2047687548786386,0.2502530803753021,1.0,0.9618704465495767,0.08796155181370417,0.12906534098802547,0.015146388082467275,0.3360693429061951,0.24911450642081998,0.8504050027207942,0.1699152261544319,,0.33606934290619517,0.24911450642081948,0.8504050027207949
rel_peak_force_pos,-0.1677618618135685,0.12539546995912632,0.008552701203138544,0.07376165990487568,-0.1428391976095504,0.02218685673987956,-0.14809476319325263,0.02576066262231614,-0.09459709050259914,0.28697682063472124,-0.1384216621903267,-0.18854243219992253,0.30552449283347083,0.261199801419559,0.9618704465495767,1.0,-0.096189064991443,-0.02536349284317122,0.11117270384020274,0.2882850635571752,0.24587686263476155,0.7579672774879399,0.11189029960567111,,0.28828506355717665,0.2458768626347613,0.7579672774879416
drive_time,0.35086634674364103,-0.9382800522780151,-0.7426615764621578,-0.8995214692880745,0.3910006948600804,0.6608460580885314,0.37034024654429165,0.6745057356097117,0.7637786163985704,-0.4198761293055921,0.3436678078899027,-0.15403053801340125,-0.7306233423429547,-0.48523513350553643,0.08796155181370417,-0.096189064991443,1.0,0.836124788938051,-0.6114082519385317,-0.44255845823407247,-0.3602509993789557,0.5713369601616338,0.06946344637604628,,-0.44255845823407575,-0.360250999378954,0.5713369601616348
recover_time,0.43533063283014467,-0.8160244750568967,-0.6152613628243698,-0.9609316529153429,0.4825171630979217,0.5578642121389532,0.46025252250661397,0.9395413364155137,0.5347263184308216,-0.21417120498242742,0.4384346037498953,-0.018009066931018006,-0.6241096291473434,-0.20619629499134753,0.12906534098802547,-0.02536349284317122,0.836124788938051,1.0,-0.5127135567960447,-0.23227162329864356,-0.07085329685258938,0.5293676920682999,0.13539219143610356,,-0.23227162329864617,-0.07085329685258926,0.5293676920683004
avg_calculated_power,-0.2832674672972182,0.6512129837833405,0.6256322581630862,0.5826624680491506,-0.2963197575568879,-0.340424304994638,-0.2931468245221368,-0.38982611417452634,-0.5078929555593594,0.3102358991838265,-0.2726676797573003,0.1846161558615556,0.4357917948041976,0.2912056355942072,0.015146388082467275,0.11117270384020274,-0.6114082519385317,-0.5127135567960447,1.0,0.3226738954678389,0.19353173735415324,-0.3015177904693049,-0.12888549452260506,,0.3226738954678403,0.19353173735415374,-0.3015177904693083
curve_area,-0.12641673254998106,0.5695323626152319,0.46005328624055253,0.31429972009272944,-0.1173950180705348,0.21468924789113897,-0.10802521512826088,-0.027350862863502638,-0.4293284517382082,0.9995666622657854,-0.0774852227314765,0.20937085663620894,0.6702014449041337,0.8956597714929047,0.3360693429061951,0.2882850635571752,-0.44255845823407247,-0.23227162329864356,0.3226738954678389,1.0,0.8595029978511641,-0.035782212549775344,0.2670129467882592,,1.0000000000000009,0.8595029978511632,-0.03578221254977952
curve_std,-0.005722759205133306,0.3877142527173418,0.30507630290210286,0.16838015524467564,0.004232905716234509,0.041880473222816954,0.009223968291530176,0.08438813752872598,-0.30318855063091815,0.8547013803572485,0.031164023788808067,0.19554895534621994,0.541307389495591,0.9619768126207809,0.24911450642081998,0.24587686263476155,-0.3602509993789557,-0.07085329685258938,0.19353173735415324,0.8595029978511641,1.0,-0.018700033980180768,0.21332419669676436,,0.8595029978511622,1.000000000000003,-0.018700033980183706
time_to_peak,0.08764578597551627,-0.5041254911728986,-0.4757134386502282,-0.5285498660402325,0.13558973376542227,0.4561952011526112,0.1174480791075954,0.46996845790047304,0.41507416491506344,-0.021966837219027698,0.10832499946646486,-0.2551567670960193,-0.21730322499866953,-0.08707953496437587,0.8504050027207942,0.7579672774879399,0.5713369601616338,0.5293676920682999,-0.3015177904693049,-0.035782212549775344,-0.018700033980180768,1.0,0.14672671862705752,,-0.03578221254977543,-0.01870003398018031,1.000000000000002
datestamp,0.044186861908409876,0.027056220752271903,-0.12856650640736125,-0.07907195993888634,0.09512886171045007,0.2319034352221545,0.07750039781904088,0.16173672625051988,0.021568454000902366,0.27209828746771186,0.07052935602085862,-0.07451171180191764,0.15266603364590764,0.2180815203996423,0.1699152261544319,0.11189029960567111,0.06946344637604628,0.13539219143610356,-0.12888549452260506,0.2670129467882592,0.21332419669676436,0.14672671862705752,1.0,,0.26701294678825505,0.21332419669676922,0.14672671862705094
workout_type,,,,,,,,,,,,,,,,,,,,,,,,,,,
curve_area_zscore,-0.12641673254998326,0.5695323626152324,0.4600532862405555,0.31429972009273127,-0.11739501807053704,0.21468924789113808,-0.10802521512826288,-0.02735086286350458,-0.4293284517382091,0.9995666622657845,-0.07748522273147856,0.20937085663620816,0.6702014449041347,0.8956597714929068,0.33606934290619517,0.28828506355717665,-0.44255845823407575,-0.23227162329864617,0.3226738954678403,1.0000000000000009,0.8595029978511622,-0.03578221254977543,0.26701294678825505,,1.0,0.8595029978511636,-0.03578221254978
curve_std_zscore,-0.0057227592051335135,0.3877142527173401,0.3050763029021009,0.16838015524467528,0.004232905716234443,0.041880473222818425,0.009223968291530032,0.08438813752872706,-0.3031885506309181,0.8547013803572473,0.031164023788807938,0.19554895534621958,0.5413073894955913,0.9619768126207778,0.24911450642081948,0.2458768626347613,-0.360250999378954,-0.07085329685258926,0.19353173735415374,0.8595029978511632,1.000000000000003,-0.01870003398018031,0.21332419669676922,,0.8595029978511636,1.0,-0.01870003398018328
time_to_peak_zscore,0.08764578597551664,-0.5041254911729008,-0.47571343865022836,-0.5285498660402349,0.1355897337654219,0.4561952011526105,0.11744807910759529,0.46996845790047254,0.4150741649150657,-0.021966837219032406,0.10832499946646469,-0.2551567670960196,-0.21730322499867266,-0.08707953496437912,0.8504050027207949,0.7579672774879416,0.5713369601616348,0.5293676920683004,-0.3015177904693083,-0.03578221254977952,-0.018700033980183706,1.000000000000002,0.14672671862705094,,-0.03578221254978,-0.01870003398018328,1.0
