,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,avg_calculated_power,curve_area,curve_std,time_to_peak,datestamp,workout_type,curve_area_zscore,curve_std_zscore,time_to_peak_zscore
energy_sum,0.9934695094192593,-0.29288557406556537,-0.22248381808698042,-0.16327991826858854,0.9841072681391445,0.04170346329631638,0.9965299074418157,0.07258035555141083,0.21899674645678435,-0.32660678848906394,1.0,0.35173470475894664,-0.5140324156218686,-0.26486568581065995,0.01848128315862965,0.008595119050615828,0.2784449743318931,0.164666861119252,-0.39949526589205747,-0.32934017465450366,-0.2945041611873925,0.16165153879804534,0.25413216197375577,,-0.3293401746545052,-0.2945041611873944,0.16165153879804173
pulse,0.3167796980848411,0.33936504313947047,0.33302552700802934,0.33018061017945116,0.26575660704422355,-0.24963300541921174,0.30156880432058497,-0.24626814761290916,-0.31306416593083464,0.06569205729796106,0.35173470475894664,1.0,-0.28686423297971114,0.26010727963135394,-0.19695998144927382,-0.1425389914846696,-0.36196741194899534,-0.32499372609301097,0.37920063369897167,0.07263731607753747,0.1991032356878519,-0.31735698099354875,-0.20821963775708793,,0.07263731607753707,0.19910323568785188,-0.31735698099354887
work_per_pulse,-0.5229363295211901,0.6791016548730124,0.38581812215471806,0.38687371040091983,-0.529816641011838,-0.1604950011787611,-0.5247181467259252,-0.10714245574490726,-0.49042351921764704,0.7931945997941228,-0.5140324156218686,-0.28686423297971114,1.0,0.7106528669222083,0.05591076679135935,0.10161933723388443,-0.615950454240753,-0.30470477878914254,0.509545099552693,0.8014192171523618,0.7186136862911762,-0.26455774790728637,-0.13304628074764105,,0.8014192171523665,0.7186136862911751,-0.26455774790728476
peak_force,-0.31668286180525695,0.5825545399604486,0.38745141736289035,0.24689231772223577,-0.3303200772424056,-0.1929323380713316,-0.307299975490837,0.04839652631011824,-0.45689250002657256,0.8604836702865096,-0.26486568581065995,0.26010727963135394,0.7106528669222083,1.0,0.023667881268782713,0.07442129762962457,-0.5780970050173831,-0.15210662150307716,0.5143024637058721,0.86983781646292,0.9818911303429015,-0.2624306189314534,-0.38007580709010597,,0.8698378164629192,0.9818911303429003,-0.262430618931449
peak_force_pos,7.480446667866255e-05,-0.18600784073393511,-0.07020900047553814,-0.2906435406380634,0.02516231459249096,0.2925292140096468,0.02367858953883209,0.30939698256345477,0.15392605090643666,0.14986038736037477,0.01848128315862965,-0.19695998144927382,0.05591076679135935,0.023667881268782713,1.0,0.9687542434436424,0.2505620681480937,0.3075246918037412,-0.15286488904664985,0.14274122983328016,0.04048779725651191,0.8996460797594448,-0.011086986423372051,,0.14274122983328033,0.040487797256512324,0.8996460797594447
rel_peak_force_pos,-0.004500610281182314,-0.07289935169088975,-0.020354264447398237,-0.13176634868848308,0.007184357383462523,0.04769765899465733,0.010272160719595998,0.16663757886432604,0.0695864701238361,0.10844759961909363,0.008595119050615828,-0.1425389914846696,0.10161933723388443,0.07442129762962457,0.9687542434436424,1.0,0.07841582261036754,0.16956731501147393,-0.09525677277571126,0.10777463105958916,0.07963184749552618,0.8272487594085415,-0.00020953050579836685,,0.1077746310595888,0.07963184749552596,0.8272487594085359
drive_time,0.2740346425162731,-0.9288057373141965,-0.5788792110016314,-0.8655291151912714,0.3432691132544392,0.7086754280545491,0.3128930784341948,0.6222306440089586,0.7214009949307987,-0.3920136583085434,0.2784449743318931,-0.36196741194899534,-0.615950454240753,-0.5780970050173831,0.2505620681480937,0.07841582261036754,1.0,0.7986064356840665,-0.7164656102315398,-0.41309083853871625,-0.5227116520169759,0.6218520357679443,0.13620589888364296,,-0.41309083853871936,-0.5227116520169766,0.6218520357679439
recover_time,0.12613266568896686,-0.7429438121357512,-0.4689301375172965,-0.9698704450180511,0.21236552289795993,0.5865465844429565,0.1846052176012031,0.9383711544585509,0.5358257619463953,-0.014621247937899618,0.164666861119252,-0.32499372609301097,-0.30470477878914254,-0.15210662150307716,0.3075246918037412,0.16956731501147393,0.7986064356840665,1.0,-0.5406824353561098,-0.030577774630072923,-0.0850060449065177,0.5840732160415215,-0.019234793801657227,,-0.030577774630075633,-0.08500604490651656,0.5840732160415254
avg_calculated_power,-0.41680413982166375,0.79878221498466,0.8514838081254769,0.5600754961555554,-0.49191058165281243,-0.24881170393390878,-0.44368993606178925,-0.3060204766860539,-0.6846144748905864,0.5057162332401625,-0.39949526589205747,0.37920063369897167,0.509545099552693,0.5143024637058721,-0.15286488904664985,-0.09525677277571126,-0.7164656102315398,-0.5406824353561098,1.0,0.5148446058663112,0.4821861037345492,-0.4760523342437213,-0.2222070258838031,,0.5148446058663141,0.4821861037345504,-0.47605233424371857
curve_area,-0.3804539122229537,0.5390257258349443,0.3894522434587687,0.10255241998432627,-0.37121664819034894,0.16345383312369932,-0.35959733946333977,0.20586379327374757,-0.41399049461095133,0.999642806213849,-0.32934017465450366,0.07263731607753747,0.8014192171523618,0.86983781646292,0.14274122983328016,0.10777463105958916,-0.41309083853871625,-0.030577774630072923,0.5148446058663112,1.0,0.8849182861474756,-0.14561501787016679,-0.29558610608046465,,0.9999999999999957,0.8849182861474759,-0.14561501787016273
curve_std,-0.34677609357307737,0.5271704556024596,0.3609993012696658,0.1779477157345283,-0.3540181524983803,-0.14474478213261924,-0.3337674597436335,0.10938214424834321,-0.41232734272569116,0.8767903352202212,-0.2945041611873925,0.1991032356878519,0.7186136862911762,0.9818911303429015,0.04048779725651191,0.07963184749552618,-0.5227116520169759,-0.0850060449065177,0.4821861037345492,0.8849182861474756,1.0,-0.2274121889156386,-0.37046343787318525,,0.8849182861474768,0.9999999999999984,-0.22741218891563497
time_to_peak,0.14860518537070944,-0.5797953954115671,-0.3386832415910712,-0.5919059961698949,0.19643929507582494,0.4323990999212979,0.18218772242972273,0.48386071425648547,0.45837373596345,-0.13333963221661232,0.16165153879804534,-0.31735698099354875,-0.26455774790728637,-0.2624306189314534,0.8996460797594448,0.8272487594085415,0.6218520357679443,0.5840732160415215,-0.4760523342437213,-0.14561501787016679,-0.2274121889156386,1.0,0.07353566652769399,,-0.1456150178701674,-0.2274121889156385,0.9999999999999977
datestamp,0.30637869553435443,-0.124821208698005,-0.2606319320612842,0.006896688085484736,0.3473715583884144,-0.037128456965423634,0.29470763818631834,-0.10507125239584676,0.1367435024653524,-0.2950697606108668,0.25413216197375577,-0.20821963775708793,-0.13304628074764105,-0.38007580709010597,-0.011086986423372051,-0.00020953050579836685,0.13620589888364296,-0.019234793801657227,-0.2222070258838031,-0.29558610608046465,-0.37046343787318525,0.07353566652769399,1.0,,-0.29558610608045954,-0.37046343787319475,0.07353566652768286
workout_type,,,,,,,,,,,,,,,,,,,,,,,,,,,
curve_area_zscore,-0.38045391222295444,0.5390257258349478,0.3894522434587703,0.10255241998432915,-0.37121664819035044,0.16345383312369643,-0.35959733946334105,0.20586379327374446,-0.4139904946109535,0.9996428062138476,-0.3293401746545052,0.07263731607753707,0.8014192171523665,0.8698378164629192,0.14274122983328033,0.1077746310595888,-0.41309083853871936,-0.030577774630075633,0.5148446058663141,0.9999999999999957,0.8849182861474768,-0.1456150178701674,-0.29558610608045954,,1.0,0.8849182861474727,-0.1456150178701636
curve_std_zscore,-0.3467760935730791,0.5271704556024572,0.3609993012696698,0.17794771573452683,-0.3540181524983841,-0.1447447821326185,-0.333767459743636,0.10938214424834347,-0.41232734272569,0.876790335220222,-0.2945041611873944,0.19910323568785188,0.7186136862911751,0.9818911303429003,0.040487797256512324,0.07963184749552596,-0.5227116520169766,-0.08500604490651656,0.4821861037345504,0.8849182861474759,0.9999999999999984,-0.2274121889156385,-0.37046343787319475,,0.8849182861474727,1.0,-0.22741218891563375
time_to_peak_zscore,0.1486051853707061,-0.5797953954115658,-0.3386832415910692,-0.5919059961698969,0.19643929507582134,0.43239909992129993,0.18218772242971912,0.4838607142564899,0.45837373596344966,-0.1333396322166086,0.16165153879804173,-0.31735698099354887,-0.26455774790728476,-0.262430618931449,0.8996460797594447,0.8272487594085359,0.6218520357679439,0.5840732160415254,-0.47605233424371857,-0.14561501787016273,-0.22741218891563497,0.9999999999999977,0.07353566652768286,,-0.1456150178701636,-0.22741218891563375,1.0
